地區,緯度,經度
九龍城,22.31944,114.17778
觀塘,22.31056,114.22278
深水埗,22.32917,114.16028
荃灣,22.37806,114.10528
葵湧,22.36194,114.135
鴨脷洲,22.24167,114.15278
大嶼山,22.26806,113.9425
南丫島,22.2,114.13472
銅鑼灣,22.28056,114.18667
紅磡,22.30778,114.18722
荔枝角,22.33611,114.13361
鰂魚涌,22.28306,114.21278
瀝源,22.375,114.18333
上水,22.51111,114.12611
上環,22.28694,114.14861
大角嘴,22.32,114.16389
青衣,22.3475,114.1025
屯門,22.395,113.97222
維多利亞城,22.28056,114.17694
灣仔,22.2775,114.17306
元朗,22.44444,114.02583
中環,22.282598,114.16674
旺角,22.315031,114.173134
沙田,22.3827,114.19191
將軍澳,22.309093,114.261688
大埔,22.448,114.16946
葵芳,22.3578,114.1298
大圍,22.3759,114.1786
佐敦,22.3049,114.1692
太子,22.296091,114.173248
西環,22.28352441,114.1401891
北角,22.2885,114.1928
天后,22.2824,114.1922
大角咀,22.3198,114.1621
太古,22.287,114.2198
大坑,22.2752,114.1937
金鐘,22.2796,114.1655
新蒲崗,22.3364,114.1989
長沙灣,22.3358,114.1495
火炭,22.3986,114.1929
黃大仙,22.3548,114.1974
杏花邨,22.1636,114.1424
筲箕灣,22.2787,114.2286
土瓜灣,22.3173,114.188
九龍塘,22.3369,114.1763
中環伊利近街25號地下,22.282598,114.16674
尖沙咀,22.2988,114.1722
油麻地,22.3069,114.1714
九龍灣,22.3081,114.2019
108-109號舖,NaN,NaN
1A,NaN,NaN
粉嶺,22.4917,114.1415
西貢,22.3837,114.2708
馬鞍山,22.4277,114.2403
天水圍,22.4606,114.0042
葵涌,22.3669,114.1303
東涌,22.2874,113.9425
長洲,22.2016,114.0265
大澳,22.2523,113.8661
愉景灣,22.2921,114.0101